SECONDS,ax,ay,az,qr,qi,qj,qk,gy,gp,gr
39.8359,0.1523438,-0.3945312,0.5585938,0.3126221,0.3226929,-0.7313232,0.5131836,-1.2031250,-0.4160156,-0.4726562
39.9359,0.6875000,0.3007812,1.3085938,0.2689209,0.3403320,-0.7804565,0.4502563,-1.0175781,-1.4921875,0.2089844
40.0359,1.3203125,-1.2187500,0.7851562,0.1990356,0.3631592,-0.8411865,0.3477783,-1.6210938,-2.1464844,0.0136719
40.1359,0.9296875,-0.6835938,1.5000000,0.0888062,0.3950195,-0.8838501,0.2341309,-1.3300781,-3.1191406,0.2011719
40.2358,3.8593750,-1.9882812,0.6718750,0.0741577,-0.4464722,0.8914795,-0.0209351,-2.6953125,-5.4921875,-0.4824219
40.3359,0.3085938,-0.5664062,0.6054688,0.1891479,-0.4756470,0.8310547,0.2175293,-2.9609375,-4.0468750,-0.4746094
40.4359,0.8437500,-0.1132812,1.3906250,0.2512207,-0.4771729,0.7733765,0.3333130,-0.7734375,-2.1738281,-0.2460938
40.5349,-0.5351562,0.2734375,-0.9687500,0.3457031,-0.4544678,0.6878662,0.4480591,-1.5273438,-3.0722656,-0.4062500
40.6349,-1.0859375,0.8281250,0.4531250,0.4445801,-0.4013062,0.5578613,0.5745239,-1.1855469,-3.8300781,-0.1230469
40.7349,-0.5117188,0.1250000,-2.0664062,0.4995728,-0.3691406,0.4205322,0.6613159,-1.4316406,-1.8144531,-0.5625000
40.8349,-0.3906250,-0.6289062,-1.5703125,0.5718384,-0.2629395,0.2821655,0.7240601,-0.8847656,-4.6660156,-0.4042969
40.9349,-0.2812500,0.5000000,0.0195312,0.6170044,-0.1214600,0.1406250,0.7647095,-0.5312500,-5.1503906,-0.1777344
41.0349,-0.1484375,0.3125000,-0.3320312,0.6007080,-0.1277466,0.0350342,0.7883911,-2.0644531,-1.2207031,0.1660156
41.1351,0.2929688,-0.6406250,-0.0664062,0.5687866,-0.0948486,-0.0711060,0.8139038,-1.4550781,-1.8535156,0.4882812
41.2349,-1.3906250,0.4960938,0.1718750,0.5576782,-0.0585327,-0.1418457,0.8157349,-0.9062500,-1.2382812,-0.2949219
